"","Карточки и контент СОЗДАНИЕ КАРТОЧЕК UZUM MARKET Создание карточки товара  (фото и/или инфографику предоставляет Заказчик) SEO-оптимизация/Редактура текста уже существующих карточек (на 2 языках) Wildberries и Yandex Market","85 000 сум 45 000 сум ",""
"","Создание первого SKU в группе вариантов  (фото и/или инфографику предоставляет Заказчик)","85 000 сум",""
"","Создание второго и далее SKU с идентичным текстовым описанием для  группы вариантов, свойства товаров заполняются в соответствии с индивидуальными характеристиками каждого SKU","25 000 сум","Для объединенных в одну карточку товаров:
- разные цвета 
- размеры 
- комплектация
- и т.д."
"","Создание второго и далее SKU (для группы вариантов) с уникальным текстовым описанием для каждого SKU","85 000 сум",""
"","SEO-оптимизация/Редактура текста уже существующих карточек (на 2 языках), стоимость за каждый SKU в карточке","20 000 сум",""
"","Копирование карточек с Uzum Market на Yandex Market ","",""
"","ИНФОГРАФИКА","",""
"","Разработка уникального шаблона (стилистика, раскладка информации для данного типа товара), 1 слайд","",""
"","Адаптация созданного слайда для другого товара , за 1 адаптацию","20 000 сум",""
"","ПРЕДМЕТНАЯ СЪЕМКА (ретушь включена в стоимость)","",""
"","Съемка 1 товара (до 40 см по самой большой стороне), 3 кадра","",""
"","4-ое и каждое последующее фото ","15 000 сум",""
"","Съемка 1 товара свыше 40 см по самой большой стороне, либо свыше 10 кг веса, а также наборы посуды, 3 кадра","85 000 сум",""
"","4-ое и каждое последующее фото ","18 000 сум",""
"","Модельная съемка: 1 товар, 5 кадров

* стоимость фото БЕЗ учета стоимости услуг МОДЕЛИ
** организация модельной фотосъемки возможна при съемке от 10 товаров","130 000 сум",""
"","Подготовка предоставленного селлером исходного изображения товара под стандарт Uzum ","15 000 сум",""
"","Видеоролики","",""
"","Предметное видео, до 40 сек, до 10 Мб","",""