"Услуга","Склад","Лабо (до 2,5 м. куб.)","Газель (до 8 палет)"
"Возврат
Машина едет специально за возвратом селлера.
Выполняется в течение 3 (трёх) рабочих дней с момента заявки.","","200 000 сум","580 000 сум"
"","","200 000 сум","580 000 сум"
"","","220 000 сум","620 000 сум"
"Пересчет товара при заборе возврата, за единицу.","250 сум","",""
"Проверка возвращённого брака с фото отчетом","2 500 сум","",""
"Короб 60х40х40","15 000 сум","",""
"ПРР короб","2 500 сум","",""
"ПРР палет авт.","10 000 сум","",""
"ПРР палет ручн.","20 000 сум","",""
"Вызов доставки","25 000 сум","",""
"Хранение за палет в сутки
Первые 5 дней бесплатно","","",""